ContractReference;EconomicActivity 
1096713271001;PARTIC
1096863771002;PARTIC
1096165810001;SERV
1096177971002;PARTIC
1097152771001;PARTIC
109744;PARTIC
1092879871001;PARTIC
1096948971001;PARTIC
109710771004;PARTIC
1097114071002;PARTIC
1098351110001;PARTIC
109846771004;PARTIC
1092916671001;PARTIC
109822571005;PARTIC
109858871003;PARTIC
109922271003;PARTIC
1100356971001;PARTIC
1100605271002;PARTIC
109608671003;PARTIC
1094029471002;PARTIC
109415;PARTIC
1096489171002;PARTIC
1096538071001;PARTIC
109511371002;PARTIC
1100532110001;PARTIC
1100670571004;PARTIC
1101056871002;PARTIC
1097176971003;PARTIC
109846771005;PARTIC
1098475071003;PARTIC
110086;PARTIC
1102243171001;PARTIC
1102580970001;PARTIC
1098536009001;PARTIC
1102739210001;PARTIC
1099498270001;COMER
1100631871003;PARTIC
1099561671001;PARTIC
1101778971005;PARTIC
1102953171001;PARTIC
1099685510001;PARTIC
1100656071001;PARTIC
1099907210001;PARTIC
109931;PARTIC
1102692771004;PARTIC
110273;PARTIC
110295671003;PARTIC
1104591071003;PARTIC
110460;PARTIC
110482971004;PARTIC
1105898871004;PARTIC
110456371004;PARTIC
110468471003;PARTIC
1100682671003;PARTIC
1106049471002;PARTIC
1105675271003;PARTIC
1100729171002;PARTIC
110570571003;PARTIC
1105774910001;PARTIC
110582671004;PARTIC
1106088171004;PARTIC
1106090571005;PARTIC
1102580971006;PARTIC
110106471004;PARTIC
1101083410001;PARTIC
110131;PARTIC
1101730571004;PARTIC
110220690004;CONSTR
1102615371003;PARTIC
1102627470002;PARTIC
110670271003;PARTIC
1106773971001;PARTIC
110682371006;PARTIC
1106861571001;PARTIC
1107162610003;COMER
11084;PARTIC
1106025271003;PARTIC
1108407571002;PARTIC
110629171004;PARTIC
110505;PARTIC
1108721110001;PARTIC
110976;PARTIC
110834;PARTIC
1107036371001;PARTIC
110318;PARTIC
1101854471002;PARTIC
1109783070001;PARTIC
1107223615002;SERV
1107223640001;SERV
1107459371001;PARTIC
110789;PARTIC
1107960271001;PARTIC
1109994570003;PROM IMOB
109810471002;PARTIC
1098188071002;PARTIC
1106623471002;PARTIC
1110178771001;PARTIC
1109284571002;PARTIC
1109520771002;PARTIC
111032;PARTIC
1110439110001;PARTIC
1110592071001;PARTIC
1110592071002;PARTIC
1111153571004;PARTIC
1111165671004;PARTIC
1105923571001;PARTIC
1111265371003;PARTIC
1110066971003;PARTIC
1110066971004;PARTIC
1110592071004;PARTIC
1110976371003;PARTIC
111174;PARTIC
1112002071001;PARTIC
1112091571001;PARTIC
1112724171004;PARTIC
1112762871002;PARTIC
1112799171005;PARTIC
1111652071002;PARTIC
11129;PARTIC
1113112871001;PARTIC
1110937671003;PARTIC
1112651070001;HOT TUR
1107459310001;PARTIC
1113885710001;PARTIC
1113908071001;PARTIC
1113934671007;PARTIC
1111214510001;PARTIC
1110028270001;CONSTR
1112835971002;PARTIC
1114012171001;PARTIC
1110042771001;PARTIC
110647;PARTIC
111219;PARTIC
1113535871005;PARTIC
1112551371001;PARTIC
1114461771002;PARTIC
1111253271001;PARTIC
1114048471001;PARTIC
1115108471004;PARTIC
1112313271003;PARTIC
1110971005;PARTIC
111548;PARTIC
111406;PARTIC
1115895871003;PARTIC
111628171004;PARTIC
1116605915001;COMER
1114162610001;PARTIC
1113547971002;PARTIC
111690;PARTIC
1112548971001;PARTIC
111431171003;PARTIC
1117220615001;PARTIC
1117855171001;PARTIC
111730271004;PARTIC
1115920571001;PARTIC
111361;PARTIC
1113698410001;PARTIC
1113747310001;PARTIC
1118681371001;PARTIC
111877;PARTIC
112028973003;PARTIC
112028910001;PARTIC
111593771001;PARTIC
1120462710002;PARTIC
1116073010001;PARTIC
1116158271002;PARTIC
1118268010001;PARTIC
111922;PARTIC
111854171001;PARTIC
1117220671001;PARTIC
1117904070001;PARTIC
111727870001;SERV
1121362071002;PARTIC
111793170001;PARTIC
1116306871001;PARTIC
1117881771003;PARTIC
