ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
39550870006;COMER;395508;58;27.05.2009;2009;51900
39550870007;COMER;395508;22;14.10.2009;2009;51900
45191772001;SERV;451917;23;30.09.2009;2009;60230
45675740002;SERV;456757;5;02.10.2009;2009;62200
45675770013;SERV;456757;1;29.10.2009;2009;62200
45675770014;SERV;456757;1;06.11.2009;2009;62200
48310770006;CONSTR;483107;64;21.05.2009;2009;45201
52501040002;COMER;525010;55;16.09.2009;2009;51900
54075540003;SERV;540755;36;20.10.2009;2009;72900
58954340002;IND EXTRACT;589543;43;28.08.2009;2009;11100
61199440003;SERV;611994;57;28.10.2009;2009;63010
62410440002;CONSTR;624104;37;02.10.2009;2009;50100
76077270002;CONSTR;760772;1;23.12.2009;2009;45201
82426272003;COMER;824262;54;18.08.2009;2009;51900
83909240003;COMER;839092;4;28.10.2009;2009;51502
83909272001;COMER;839092;42;16.10.2009;2009;51502
100398315001;SERV;1003983;10;21.12.2009;2009;63010
100398340001;SERV;1003983;11;24.11.2009;2009;63010
100746340002;COMER;1007463;49;28.09.2009;2009;51900
112415672002;SERV;1124156;29;08.09.2009;2009;93040
122290672001;CONSTR;1222906;22;27.10.2009;2009;45201
148918572001;CONSTR;1489185;35;27.11.2009;2009;50100
175887810001;COMER;1758878;4;28.09.2009;2009;51900
175900410001;COMER;1759004;4;28.09.2009;2009;51900
175936710001;COMER;1759367;4;28.09.2009;2009;51900
175948810001;COMER;1759488;4;28.09.2009;2009;51900
175963310001;COMER;1759633;4;28.09.2009;2009;51900
177873740003;CONSTR;1778737;33;28.10.2009;2009;45201
191997640003;CONSTR;1919976;43;18.08.2009;2009;45201
191997640004;CONSTR;1919976;24;14.10.2009;2009;45201
191997670034;CONSTR;1919976;24;29.01.2009;2009;45201
191997670035;CONSTR;1919976;25;02.02.2009;2009;45201
191997670036;CONSTR;1919976;13;06.02.2009;2009;45201
191997670037;CONSTR;1919976;15;06.03.2009;2009;45201
191997670038;CONSTR;1919976;27;10.03.2009;2009;45201
191997670039;CONSTR;1919976;27;17.03.2009;2009;45201
191997670040;CONSTR;1919976;27;17.03.2009;2009;45201
